year,A00 Burgwallen-Oude Zijde,A01 Burgwallen-Nieuwe Zijde,A02 Grachtengordel-West,A03 Grachtengordel-Zuid,A04 Nieuwmarkt/Lastage,A05 Haarlemmerbuurt,A06 Jordaan,A07 De Weteringschans,A08 Weesperbuurt/Plantage,A09 Oostelijke Eilanden/Kadijken,B10 Westelijk Havengebied,B11 Bedrijventerrein Sloterdijk,E12 Houthavens,E13 Spaarndammer- en Zeeheldenbuurt,E14 Staatsliedenbuurt,E15 Centrale Markt,E16 Frederik Hendrikbuurt,E17 Da Costabuurt,E18 Kinkerbuurt,E19 Van Lennepbuurt,E20 Helmersbuurt,E21 Overtoomse Sluis,E22 Vondelbuurt,E36 Sloterdijk,E37 Landlust,E38 Erasmuspark,E39 De Kolenkit,E40 De Krommert,E41 Van Galenbuurt,E42 Hoofdweg e.o.,E43 Westindische Buurt,F75 Spieringhorn,F76 Slotermeer-Noordoost,F77 Slotermeer-Zuidwest,F78 Geuzenveld,F79 Eendracht,F80 Lutkemeer/Ookmeer,F81 Osdorp-Oost,F82 Osdorp-Midden,F83 De Punt,F84 Middelveldsche Akerpolder/Sloten,F85 Slotervaart,F86 Overtoomse Veld,F87 Westlandgracht,F88 Sloter-/Riekerpolder,K24 Oude Pijp,K25 Nieuwe Pijp,K26 Diamantbuurt,K44 Hoofddorppleinbuurt,K45 Schinkelbuurt,K46 Willemspark,K47 Museumkwartier,K48 Stadionbuurt,K49 Apollobuurt,K50 Duivelseiland,K52 Scheldebuurt,K53 IJselbuurt,K54 Rijnbuurt,K59 Station Zuid/WTC e.o.,K90 Buitenveldert-West,K91 Buitenveldert-Oost,M27 Weesperzijde,M28 Oosterparkbuurt,M29 Dapperbuurt,M30 Transvaalbuurt,M31 Indische Buurt West,M32 Indische Buurt Oost,M33 Oostelijk Havengebied,M34 Zeeburgereiland/Nieuwe Diep,M35 IJburg West,M51 IJburg Zuid,M55 Frankendael,M56 Middenmeer,M57 Betondorp,M58 De Omval,N60 Volewijck,N61 IJplein/Vogelbuurt,N62 Tuindorp Nieuwendam,N63 Tuindorp Buiksloot,N64 Nieuwendammerdijk/Buiksloterdijk,N65 Tuindorp Oostzaan,N66 Oostzanerwerf,N67 Kadoelen,N68 Nieuwendam-Noord,N69 Buikslotermeer,N70 Banne Buiksloot,N71 Buiksloterham,N72 Nieuwendammerham,N73 Waterland,T92 Amstel III/Bullewijk,"T93 Bijlmer Centrum (D,F,H)","T94 Bijlmer Oost (E,G,K)",T95 Nellestein,T96 Holendrecht/Reigersbos,T97 Gein,T98 Driemond
2009,3739,7233,1328,1703,1937,904,1853,3132,986,1002,389,861,146,943,921,362,575,549,555,727,855,504,650,82,1619,644,500,1062,446,995,500,94,991,1761,918,167,163,1691,1009,387,669,1589,1249,779,921,2057,1065,435,1015,340,480,2284,784,825,119,1270,469,529,581,1201,607,666,1323,1331,805,1149,800,1215,166,324,596,1460,1285,207,711,1120,743,174,113,119,506,541,214,806,1450,769,534,120,162,1672,2739,2388,461,1362,627,70
2010,3391,7123,1338,2005,1988,1068,1817,3588,908,1119,484,1080,166,1039,932,342,600,594,571,722,734,552,527,285,1791,648,519,1109,490,1023,441,106,1061,1729,1039,210,139,1786,1110,459,770,1687,1325,982,836,1975,1044,461,1101,408,556,2098,1013,869,137,1300,398,713,513,1255,711,731,1424,1282,735,1206,993,1335,202,302,665,1274,1067,200,647,1141,737,196,97,153,583,570,191,782,1440,932,598,113,163,1466,2699,2191,280,1360,628,38
2011,3430,7604,1390,2340,1937,1075,2077,3773,1025,1316,714,990,144,1069,922,381,608,596,545,707,920,641,599,62,1788,637,533,1159,444,1002,408,63,995,1724,908,186,190,1809,1016,424,746,1572,1148,1022,973,2202,1173,486,1186,393,599,2529,877,945,141,1346,508,668,512,1211,662,819,1379,1387,719,1314,1094,1439,216,468,666,1423,1185,224,536,1050,716,150,72,161,476,615,152,913,1648,900,548,140,171,1499,2486,2040,259,1234,623,43
2012,3461,8071,1525,2554,1955,963,2044,4247,993,1105,732,1165,104,1058,784,340,561,626,587,695,862,615,632,162,1492,540,623,1048,464,950,471,59,1096,1678,952,162,191,1737,1013,500,747,1539,1105,992,930,2016,1279,428,1092,316,514,2080,913,955,147,1261,558,673,434,1180,633,723,1253,1347,592,1236,880,1342,192,449,624,1338,1100,182,587,968,642,160,99,149,509,579,159,849,1576,963,537,118,204,1618,2936,2020,325,1168,545,42
2013,3944,8504,1454,2746,1998,1187,2060,4244,870,1004,426,1258,123,1036,819,320,582,625,526,594,739,632,676,133,1654,513,626,1001,421,762,419,88,958,1665,938,145,144,1619,1069,454,668,1390,1080,786,814,2065,1094,437,994,322,475,2068,813,873,146,1497,439,692,540,1135,651,712,1249,1280,616,1063,782,1237,258,480,769,1446,1173,179,619,957,701,170,86,152,474,549,175,882,1498,961,611,121,228,1888,2979,2295,391,1426,650,56
2014,3797,8111,1461,2472,2232,1198,2208,3792,1000,949,385,1065,88,1054,802,345,580,626,517,643,710,558,732,90,1393,434,516,869,406,764,385,73,853,1523,957,149,176,1547,855,427,678,1270,975,788,778,2049,969,425,984,333,450,2236,832,776,132,1269,443,550,565,1042,557,841,1197,1418,597,992,728,1081,242,692,451,1369,1052,182,527,1109,726,177,117,145,535,466,166,985,1307,902,669,159,169,1878,2757,2067,404,1375,618,53
2015,4187,8597,1463,2601,2221,1113,2147,3493,939,1001,390,737,69,929,844,358,600,642,597,510,642,499,554,494,1485,409,604,915,460,812,371,62,867,1329,918,152,134,1360,890,473,664,1495,1008,762,779,1730,966,467,935,271,450,2110,982,681,101,1382,391,609,660,1089,525,666,1112,1382,625,1025,718,1147,216,255,906,1430,962,200,514,914,730,158,100,107,490,484,168,801,1220,854,712,205,147,1982,2450,1915,292,1317,571,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,